time,Apolloon,VTK
1666464144,18,21
1666464145,18,21
1666464146,18,21
1666464147,18,21
1666464148,18,21
1666464149,18,21
1666464150,18,21
1666464151,18,21
1666464152,18,21
1666464153,18,21
1666464154,18,21
1666464155,18,21
1666464156,18,21
1666464157,18,21
1666464158,18,21
1666464159,18,21
1666464160,18,21
1666464161,18,21
1666464162,18,21
1666464163,18,21
1666464164,18,21
1666464165,18,21
1666464166,18,21
1666464167,18,21
1666464168,18,21
1666464169,18,21
1666464170,18,21
1666464171,18,21
1666464172,18,21
1666464173,18,21
1666464174,18,21
1666464175,18,21
1666464176,18,21
1666464177,18,21
1666464178,18,21
1666464179,18,21
1666464180,18,21
1666464181,19,21
1666464182,19,21
1666464183,19,21
1666464184,19,21
1666464185,19,21
1666464186,19,21
1666464187,19,21
1666464188,19,21
1666464189,19,21
1666464190,19,21
1666464191,19,21
1666464192,19,21
1666464193,19,22
1666464194,19,22
1666464195,19,22
1666464196,19,22
1666464197,19,22
1666464198,19,22
1666464199,19,22
1666464200,19,22
1666464201,19,22
1666464202,19,22
1666464203,19,22
1666464204,19,22
1666464205,19,22
1666464206,19,22
1666464207,19,22
1666464208,19,22
1666464209,19,22
1666464210,19,22
1666464211,19,22
1666464212,19,22
1666464213,19,22
1666464214,19,22
1666464215,19,22
1666464216,19,22
1666464217,19,22
1666464218,19,22
1666464219,19,22
1666464220,19,22
1666464221,19,22
1666464222,19,22
1666464223,19,22
1666464224,19,22
1666464225,19,22
1666464226,19,22
1666464227,19,22
1666464228,19,22
1666464229,19,22
1666464231,19,22
1666464232,19,22
1666464233,19,22
1666464234,19,22
1666464235,19,22
1666464236,19,22
1666464237,19,22
1666464238,19,22
1666464239,19,22
1666464240,19,22
1666464241,19,22
1666464242,19,22
1666464243,19,22
1666464244,19,22
1666464245,19,22
1666464246,19,22
1666464247,19,22
1666464248,19,22
1666464249,19,22
1666464250,19,22
1666464251,19,22
1666464252,19,22
1666464253,19,22
1666464254,19,22
1666464255,19,22
1666464256,19,22
1666464257,19,22
1666464258,19,22
1666464259,19,22
1666464260,20,22
1666464261,20,22
1666464262,20,22
1666464263,20,23
1666464264,20,23
1666464265,20,23
1666464266,20,23
1666464267,20,23
1666464268,20,23
1666464269,20,23
1666464270,20,23
1666464271,20,23
1666464272,20,23
